,"Total employed, all industries 4",Goods-producing sector 5,Agriculture 6,"Forestry, fishing, mining, quarrying, oil and gas 7 8",Utilities,Construction,Manufacturing,Services-producing sector 9,Wholesale and retail trade,Transportation and warehousing,"Finance, insurance, real estate, rental and leasing","Professional, scientific and technical services","Business, building and other support services 10",Educational services,Health care and social assistance,"Information, culture and recreation",Accommodation and food services,Other services (except public administration),Public administration,"Total employed, all industries 4",Goods-producing sector 5,Agriculture 6,"Forestry, fishing, mining, quarrying, oil and gas 7 8",Utilities,Construction,Manufacturing,Services-producing sector 9,Wholesale and retail trade,Transportation and warehousing,"Finance, insurance, real estate, rental and leasing","Professional, scientific and technical services","Business, building and other support services 10",Educational services,Health care and social assistance,"Information, culture and recreation",Accommodation and food services,Other services (except public administration),Public administration,"Total employed, all industries 4",Goods-producing sector 5,Agriculture 6,"Forestry, fishing, mining, quarrying, oil and gas 7 8",Utilities,Construction,Manufacturing,Services-producing sector 9,Wholesale and retail trade,Transportation and warehousing,"Finance, insurance, real estate, rental and leasing","Professional, scientific and technical services","Business, building and other support services 10",Educational services,Health care and social assistance,"Information, culture and recreation",Accommodation and food services,Other services (except public administration),Public administration
2021-10-01,"7,589.10","1,479.50",66.8,37.7,57,550.9,767.1,"6,109.60","1,156.80",376.7,634.7,755.3,284.5,579.7,906.9,323.9,413,262.1,416,"6,520.60","1,257.60",37.6,35,57,389.2,738.8,"5,263.00","1,046.70",291.4,523.5,577.5,219,538.9,806,273.7,375.6,194.6,416,"1,068.50",221.9,29.2,2.7,x,161.7,28.3,846.6,110.1,85.4,111.2,177.8,65.5,40.8,100.9,50.2,37.4,67.5,x
2021-11-01,"7,660.20","1,486.30",65,35.2,51.8,562.3,772,"6,173.90","1,185.80",385.9,628,769.5,288.2,585.4,920.1,325.3,409.6,253.3,422.8,"6,584.80","1,267.10",34.4,33.7,51.8,407.9,739.3,"5,317.70","1,077.60",303.6,518.7,588.6,215.9,553.4,815.8,265.1,371.4,184.9,422.8,"1,075.40",219.2,30.6,1.5,x,154.4,32.7,856.1,108.1,82.2,109.4,180.9,72.2,32,104.3,60.2,38.2,68.4,x
2021-12-01,"7,693.10","1,487.50",61.2,38,55.6,545.1,787.5,"6,205.60","1,208.40",387.6,647.4,771.4,282.2,600.7,921,308.8,405.9,251.2,421,"6,605.50","1,264.90",32.1,35.7,55.6,384.6,756.9,"5,340.60","1,098.70",301.1,540,589.1,220.8,568.9,808.9,249.5,366.9,175.8,421,"1,087.60",222.6,29.1,2.3,x,160.5,30.6,865,109.6,86.6,107.5,182.3,61.4,31.9,112.1,59.3,39,75.4,x
2022-01-01,"7,432.10","1,452.50",60.4,34.1,57.5,538.7,761.7,"5,979.60","1,153.30",382.4,656.4,768.4,267.7,576.4,922.7,263.7,318.6,251.1,419,"6,352.50","1,233.50",33.1,32.1,57.5,379.2,731.6,"5,119.00","1,038.90",294.7,552.1,580.7,213.7,541.7,804.5,208.7,280.9,184.3,419,"1,079.60",219,27.3,2,x,159.5,30.2,860.6,114.4,87.7,104.3,187.7,54,34.7,118.2,54.9,37.7,66.8,x
2022-02-01,"7,641.30","1,473.90",62,35.5,56.1,549.8,770.5,"6,167.40","1,159.90",393.7,659.5,788.8,279,591,940.9,308.2,384.8,244.9,416.7,"6,563.00","1,264.20",35.8,33.8,55.9,396.2,742.4,"5,298.80","1,056.80",308.2,558,599,208.5,550,821.4,255,348.3,177,416.7,"1,078.30",209.7,26.2,1.7,x,153.5,28.1,868.6,103.1,85.6,101.5,189.8,70.5,40.9,119.6,53.2,36.6,67.9,x
2022-03-01,"7,646.80","1,493.20",64.7,38.5,55.3,557.7,777,"6,153.60","1,163.50",375.1,658.3,799.8,272.4,576.4,938.8,310.7,384.7,254,419.8,"6,551.00","1,267.70",35.6,36.5,55.1,396.1,744.4,"5,283.30","1,052.10",297.1,554.7,603.3,202.7,543.9,824.8,252,349.2,183.7,419.8,"1,095.80",225.5,29.1,2.1,x,161.6,32.5,870.3,111.4,77.9,103.6,196.5,69.7,32.5,114.1,58.7,35.5,70.3,x
2022-04-01,"7,722.00","1,530.20",68.5,36.6,60.1,581.5,783.5,"6,191.90","1,166.20",373.4,660.3,802.6,265.6,590.6,930,319.5,397.8,258.4,427.6,"6,637.50","1,308.00",36.2,33.6,59.9,419.7,758.5,"5,329.60","1,066.00",296.7,551.7,587.5,198,559.9,816.1,269.9,368.7,187.4,427.6,"1,084.50",222.2,32.3,2.9,x,161.8,25,862.3,100.2,76.7,108.6,215,67.6,30.7,113.9,49.6,29,71,x
2022-05-01,"7,847.00","1,553.00",75.3,36.8,61.4,591.9,787.6,"6,294.00","1,178.00",380.4,666.5,819.5,275.9,593.6,929.4,346.6,415.6,253.3,435.1,"6,755.20","1,328.70",42.2,34.8,61.2,427.7,762.8,"5,426.50","1,076.40",301.6,567.6,604.9,204.8,562,809.8,295.2,382.4,186.7,435.1,"1,091.80",224.3,33.1,2,x,164.2,24.8,867.5,101.7,78.8,99,214.5,71.1,31.6,119.6,51.4,33.2,66.6,x
2022-06-01,"7,858.70","1,579.50",76.5,37.7,63.3,605.8,796.1,"6,279.20","1,169.10",379.1,675,812.8,292.5,583.4,922.7,340.1,417,245,442.6,"6,781.70","1,352.50",42.8,36.5,63.1,436.3,773.8,"5,429.30","1,060.70",294.7,578.8,605.5,215.4,556.9,816.5,295.2,385.4,177.5,442.6,"1,076.90",227,33.6,x,x,169.5,22.4,849.9,108.4,84.4,96.1,207.3,77.1,26.5,106.2,44.9,31.6,67.5,x
2022-07-01,"7,825.30","1,603.40",76.8,35.3,60.1,620.6,810.6,"6,221.90","1,156.70",378.9,684.4,806.2,304.1,460.2,931.6,364.5,429.2,252.2,453.7,"6,721.60","1,366.70",42.5,34.4,59.9,439.1,790.8,"5,354.90","1,052.00",288.4,588.6,582.6,229.3,436.1,819.4,319.4,392.4,193.1,453.7,"1,103.60",236.7,34.3,x,x,181.5,19.9,866.9,104.8,90.5,95.8,223.6,74.8,24.1,112.2,45.1,36.8,59.1,x
2022-08-01,"7,792.40","1,603.60",78.1,36.9,63.6,616.5,808.5,"6,188.80","1,153.00",373.4,689.3,805,300.3,445.7,936.4,342.9,422.2,257.8,462.8,"6,701.10","1,365.90",43.2,35.3,63.6,442.3,781.5,"5,335.20","1,051.00",295.3,581.9,583,235.2,419.7,829.4,295.2,382.9,199.6,462.2,"1,091.30",237.8,34.9,1.6,x,174.3,27,853.6,102,78.1,107.4,222,65.2,26,107,47.8,39.3,58.2,x
2022-09-01,"7,682.40","1,554.80",69,37.6,60.8,603.8,783.6,"6,127.60","1,118.30",374.6,674,783.8,294.9,555.9,928.3,311.3,391.9,251.8,442.8,"6,597.70","1,319.70",34.2,36.7,60.8,430.5,757.5,"5,278.00","1,025.40",297.5,569.8,563.3,225.3,532.8,818.8,258.4,354.9,189.3,442.4,"1,084.70",235.1,34.8,x,x,173.3,26.1,849.6,92.9,77,104.2,220.5,69.6,23.1,109.5,52.9,37,62.5,x
2022-10-01,"7,755.80","1,561.30",72.6,38.7,62.6,596.1,791.3,"6,194.40","1,112.30",374.6,685.2,801.4,288.9,584.9,941.7,300.8,400.5,254.8,449.4,"6,675.30","1,329.60",41,38,62.6,422.8,765.3,"5,345.70","1,021.80",302.9,578.9,592,222.9,555.4,821.2,246.9,364.8,189.5,449.4,"1,080.40",231.7,31.6,x,x,173.3,26,848.7,90.5,71.7,106.3,209.4,66,29.6,120.4,53.9,35.6,65.3,x
2022-11-01,"7,778.40","1,564.20",75,37.5,61.3,596.4,793.9,"6,214.20","1,120.90",375.9,696.5,800.3,284.3,590,946,293.1,403.6,253.6,449.9,"6,666.00","1,328.70",43.9,36.5,61.3,422.5,764.4,"5,337.30","1,025.20",301.4,579.1,587.6,216.6,556.9,826.9,242.6,365.7,185.4,449.9,"1,112.40",235.5,31.1,x,x,173.9,29.5,876.9,95.7,74.5,117.3,212.7,67.7,33.1,119.1,50.6,37.9,68.2,x
2022-12-01,"7,797.40","1,552.70",78.1,39.2,58,596.9,780.5,"6,244.70","1,122.80",379.8,700.5,817.7,287.1,583,933.3,298.6,417.4,253.6,450.8,"6,712.40","1,328.70",43.3,38.5,58,440.4,748.5,"5,383.60","1,042.90",303.3,592.3,605.2,222.3,552.1,808.2,240.6,374.3,191.6,450.8,"1,085.00",224,34.8,x,x,156.5,32,861.1,79.9,76.5,108.2,212.4,64.8,31,125.1,58,43.1,62,x
2023-01-01,"7,754.10","1,522.00",73.4,38.9,57.9,564.7,787,"6,232.10","1,109.30",372.1,685.6,818.8,277.3,577.7,957.4,312.6,411.8,262.4,447.1,"6,673.20","1,295.90",34.9,38.3,57.9,413.5,751.3,"5,377.20","1,030.30",295.2,581.3,610.4,217.4,545.5,833.8,253,368.9,194.2,447.1,"1,080.90",226.1,38.5,x,x,151.2,35.7,854.9,79,76.9,104.3,208.3,59.9,32.1,123.7,59.6,42.9,68.1,x
2023-02-01,"7,790.10","1,529.90",71.9,37.4,62.6,567.1,790.8,"6,260.30","1,125.90",368.3,685.1,824,271.4,589.5,963.4,301.9,413.1,264.6,453.1,"6,728.60","1,304.50",32.7,37.2,62.6,416.1,755.9,"5,424.10","1,049.00",294.2,581.1,621.8,206.5,551.4,845,247.1,375.2,199.6,453.1,"1,061.50",225.3,39.2,x,x,151,34.9,836.2,76.9,74.1,104,202.1,64.8,38.2,118.4,54.8,37.9,65,x
